Activity,Date (YYYYMMDD),Set,,unit,,unit,Combined,Points
Barbell Glute Bridge,2012-08-06,701,12,,5,,12 kg || 5 reps,15
Barbell Glute Bridge,2012-08-06,702,42,,5,,42 kg || 5 reps,24
Barbell Glute Bridge,2012-08-06,703,42,,5,,42 kg || 5 reps,24
Barbell Glute Bridge,2012-08-06,704,42,,10,,42 kg || 10 reps,29
Barbell Glute Bridge,2012-08-26,101,12,,5,,12 kg || 5 reps,15
Barbell Glute Bridge,2012-10-25,201,45,,10,,45 kg || 10 reps,30
Barbell Glute Bridge,2012-10-25,202,50,,10,,50 kg || 10 reps,32
Barbell Glute Bridge,2012-10-31,501,55,,8,,55 kg || 8 reps,34
Barbell Glute Bridge,2012-10-31,502,55,,8,,55 kg || 8 reps,34
Barbell Glute Bridge,2012-10-31,503,55,,8,,55 kg || 8 reps,34
Barbell Glute Bridge,2013-04-23,301,60,,5,,60 kg || 5 reps,32
Barbell Glute Bridge,2013-04-23,302,60,,6,,60 kg || 6 reps,34
Barbell Glute Bridge,2013-04-23,303,60,,10,,60 kg || 10 reps,38
Barbell Glute Bridge,2013-10-03,201,60,,6,,60 kg || 6 reps,34
Barbell Glute Bridge,2013-10-03,202,60,,6,,60 kg || 6 reps,34
Barbell Glute Bridge,2013-10-03,203,60,,15,,60 kg || 15 reps,40
