"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Hyperextension",2012-06-20,801,10,,"10 reps","5"
"Hyperextension",2012-06-26,1,10,,"10 reps","5"
"Hyperextension",2012-06-26,2,10,,"10 reps","5"
"Hyperextension",2012-06-26,3,10,,"10 reps","5"
"Hyperextension",2012-06-29,1,15,,"15 reps","5"
"Hyperextension",2012-06-29,2,15,,"15 reps","5"
"Hyperextension",2012-07-19,301,15,,"15 reps","5"
"Hyperextension",2012-07-19,302,15,,"15 reps","5"
"Hyperextension",2013-04-04,601,10,,"10 reps","5"
"Hyperextension",2013-04-04,602,10,,"10 reps","5"
"Hyperextension",2013-04-06,201,10,,"10 reps","5"
"Hyperextension",2013-04-06,202,10,,"10 reps","5"
"Hyperextension",2013-04-06,203,10,,"10 reps","5"
"Hyperextension",2013-04-08,301,10,,"10 reps","5"
"Hyperextension",2013-04-08,302,10,,"10 reps","5"
"Hyperextension",2013-04-16,501,10,,"10 reps","5"
"Hyperextension",2013-04-16,502,10,,"10 reps","5"
"Hyperextension",2013-04-16,503,10,,"10 reps","5"
"Hyperextension",2013-04-18,201,10,,"10 reps","5"
"Hyperextension",2013-04-26,801,12,,"12 reps","5"
"Hyperextension",2013-04-26,802,12,,"12 reps","5"
"Hyperextension",2013-06-10,301,10,,"10 reps","5"
"Hyperextension",2013-06-10,302,10,,"10 reps","5"
"Hyperextension",2013-06-12,201,10,,"10 reps","5"
"Hyperextension",2013-06-12,202,10,,"10 reps","5"
"Hyperextension",2013-09-19,801,10,,"10 reps","5"
"Hyperextension",2013-09-19,802,10,,"10 reps","5"
"Hyperextension",2014-02-04,12,10,,"10 reps","5"
"Hyperextension",2014-02-04,13,10,,"10 reps","5"
"Hyperextension",2014-02-26,8,10,,"10 reps","5"
"Hyperextension",2014-03-03,5,8,,"8 reps","5"
"Hyperextension",2014-03-18,16,1,,"1 reps","5"
